Judge Name,Categories,Company 1,Company 2,Company 3,Company 4,Company 5,Company 6,Company 7,Company 8,Company 9,Company 10,Company 11,Company 12
Kristopher Priemer,"B2C Physical Products, B2C Digital/Apps, B2B Digital/SaaS, Commerce/Retail",AUXIN Games,Ave,C I V I T A S   ,coffee + good,Comma,Children's Home Infusion Pharmacy,Maia,CoSAL,Church Property Management,MyStory
Mark Dixon,"B2C Physical Products, B2C Digital/Apps, B2B Digital/SaaS, Manufacturing/Supply Chain",AUXIN Games,coffee + good,EYIT Startup Financing Initiative (ESFI),CampuSKey,MiniFort,Mr. Barber on the Move,GoFix,GuidED,Lagom,Steed
Colin Keeler,"B2C Physical Products, B2C Digital/Apps, Commerce/Retail, Drug Development",BeautyAround,Nora+,Podstax,QuoteNote,Stroll Care,Study Abroad Go,The People's Data Project,General Debauchery ,The Working Life,Unify
John Gleason,"B2C Physical Products, B2C Digital/Apps, Commerce/Retail, Manufacturing/Supply Chain",C I V I T A S   ,Mr. Barber on the Move,Babble Therapy Life Coach,Stroll Care,TeacherTime Call Coverage,The Working Life,Unify,Wend,You Give,Making the Shift
Christopher Blum,"B2C Physical Products, Commerce/Retail, B2B Digital/SaaS",A Gluten Free Cottage Bakery ,Back in the Bend,Call Me King Shoes,CoSAL,G. Grips,Junior Changemakers,MoVE Office Automation,Nautilus,LOOMING,SpotSight
Eric Wiechart,"B2C Physical Products, Drug Development, Medical Device/Diagnostics, Manufacturing/Supply Chain, Advanced Materials, Commerce/Retail",G. Grips,General Debauchery ,LOOMING,Making the Shift,PaceDrone,Manning Beverages LLC,Power Tie Giveaway In A Box,histoimage,ShoreUp,Tangler Wrangler
Thomas Jensen,"B2C Physical Products, Manufacturing/Supply Chain, Commerce/Retail, B2C Digital/Apps",ArtVision,BeautyAround,GiftShop,Jetta’s sweet & salty kettle corn ,Shortcastle,Unify,heARsight,Wend,You Give,ZuzuForKids.com
Joe Mueller,Commerce/Retail,Children's Home Infusion Pharmacy,Ezza Market ,Friends of Notre Dame,Legacy LLC,Netic Nails,Project Shadow Band,Resenha/Sambinha Beverage Company,SeekSmart,Small Animal Coffee House,Smart Foods
T. Drew Mitchell,Commerce/Retail,G. Grips,GreenBaby,Manning Beverages LLC,Netic Nails,Project Shadow Band,SeekSmart,Small Animal Coffee House,Smart Foods,"The Wholesome Package, LLC",Venus Kenya Sacco Ltd 
Mieczyslaw Jodziewicz,"Commerce/Retail, Advanced Materials, B2C Physical Products, Energy/Defense/Environmental",Jetta’s sweet & salty kettle corn ,LOOMING,Making the Shift,Power Tie Giveaway In A Box,Netic Nails,Project Shadow Band,ShoreUp,Environmentalists for Education (E4E),Samaritan,SeekSmart
Mike Ferrigno,"Commerce/Retail, Advanced Materials, B2C Physical Products, Manufacturing/Supply Chain, B2C Digital/Apps",Ave,clearspace,Gehr Co.,Minerva,Period.,Podstax,ProfProven,Steed,Unify,Wend
John Schroeder,"Commerce/Retail, Advanced Materials, B2C Physical Products, Manufacturing/Supply Chain, Energy/Defense/Environmental",Chopan - Sourdough Bakery,Enabler ,Friends of Notre Dame,Five Star Life Arts,heARsight,LOOMING,Making the Shift,Power Tie Giveaway In A Box,JAM Solar,SeekSmart
Martin Carrasco,"Commerce/Retail, Advanced Materials, Drug Development, Medical Device/Diagnostics, Energy/Defense/Environmental",Duniven Dental - Making Improved Dental Instruments,Making the Shift,Netic Nails,histoimage,SpoRx Therapeutics Inc.,JAM Solar,Small Animal Coffee House,Smart Foods,"The Wholesome Package, LLC",Phone Panel Plus
Patrick McMahon,"Commerce/Retail, Advanced Materials, Manufacturing/Supply Chain, Medical Device/Diagnostics, Energy/Defense/Environmental",A Gluten Free Cottage Bakery ,Chopan - Sourdough Bakery,HexBR,Manning Beverages LLC,histoimage,iMD Device (Incision Manipulation Deterrent Device),SeekSmart,Small Animal Coffee House,Smart Foods,"The Wholesome Package, LLC"
Julie Rotolo,"Commerce/Retail, Agriculture, B2B Digital/SaaS, B2C Digital/Apps, B2C Physical Products, Medical Device/Diagnostics, Energy/Defense/Environmental",AUXIN Games,clearspace,CutCapture,Finbud,Gehr Co.,Bedrock Oyster,Lawroo,Chameleon Foods,Minerva,CampuSKey
Tim Kish,"Commerce/Retail, B2B Digital/SaaS, B2C Digital/Apps",Artistically Stupid,ArtVision,Astromata,GiftShop,Back in the Bend,Bike Basics,CoSAL,Enabler ,GoFix,ProfProven
Eric Meyers,"Commerce/Retail, B2B Digital/SaaS, B2C Digital/Apps",Bike Basics,G. Grips,Monti,Stroll Care,TeacherTime Call Coverage,The Working Life,Nautilus,Unify,Wend,Routora
Justin Hintz,"Commerce/Retail, B2B Digital/SaaS, B2C Digital/Apps, B2C Physical Products",activeARE,Ave,Cobolic,JubileeDAO & Currency for the Common Good,Call Me King Shoes,GuidED,Podstax,Lagom,Mimik Studio,Monti
Nick Schappler,"Commerce/Retail, B2B Digital/SaaS, B2C Digital/Apps, B2C Physical Products",activeARE,clearspace,GotInfo,Call Me King Shoes,Maia,CampuSKey,Nora+,ProfProven,Launched,QuoteNote
Jay Breeden,"Commerce/Retail, B2B Digital/SaaS, B2C Digital/Apps, B2C Physical Products, Manufacturing/Supply Chain",activeARE,CutCapture,Maia,Mr. Barber on the Move,Ezza Market ,Jetta’s sweet & salty kettle corn ,Shortcastle,Five Star Life Arts,MPA for Retail Systems,MYND
David Hemler,"Commerce/Retail, B2B Digital/SaaS, B2C Digital/Apps, Medical Device/Diagnostics",activeARE,Artistically Stupid,Astromata,Finbud,Bike Basics,Call Me King Shoes,Minerva,CampuSKey,Desi,GuidED
Alyssa Jank,"Commerce/Retail, B2B Digital/SaaS, B2C Physical Products, Medical Device/Diagnostics, B2C Digital/Apps",Astromata,AUXIN Games,C I V I T A S   ,clearspace,Gehr Co.,GiftShop,GotInfo,JubileeDAO & Currency for the Common Good,Chopan - Sourdough Bakery,MyStory
Tim O'Neill,"Commerce/Retail, B2C Digital/Apps, B2B Digital/SaaS",ArtVision,Astromata,AUXIN Games,Back in the Bend,Children's Home Infusion Pharmacy,Desi,GoFix,Period.,Lagom,Rydr
William O'Brien,"Commerce/Retail, B2C Digital/Apps, B2C Physical Products, B2B Digital/SaaS",Maia,MiniFort,Enabler ,Flexwork,GoFix,Period.,Podstax,CTM (Competitive Training Metrics),Five Star Life Arts,Study Abroad Go
Jason McCaherty,"Commerce/Retail, B2C Physical Products",A Gluten Free Cottage Bakery ,Bike Basics,Enabler ,Ezza Market ,Jetta’s sweet & salty kettle corn ,CTM (Competitive Training Metrics),heARsight,PaceDrone,Power Tie Giveaway In A Box,Netic Nails
Tiffany Tibbot,"Commerce/Retail, B2C Physical Products",Bike Basics,Ezza Market ,Babble Therapy Life Coach,Junior Changemakers,LOOMING,Power Tie Giveaway In A Box,ShoreUp,Tangler Wrangler,The Vitalist,VibeGrips
